Gear 0 at (1, 75) with neighbors [801, 691]
Gear 86 at (30, 82) with neighbors [912, 170]
Gear 87 at (30, 86) with neighbors [651, 805]
Gear 88 at (30, 92) with neighbors [162, 517]
Gear 89 at (30, 116) with neighbors [901, 929]
Gear 90 at (31, 6) with neighbors [934, 357]
Gear 91 at (31, 27) with neighbors [552, 94]
Gear 92 at (31, 112) with neighbors [993, 9]
Gear 93 at (32, 22) with neighbors [43, 512]
Gear 94 at (32, 62) with neighbors [888, 489]
Gear 95 at (32, 100) with neighbors [639, 240]
Gear 96 at (33, 124) with neighbors [605, 172]
Gear 97 at (34, 44) with neighbors [976, 909]
Gear 98 at (34, 53) with neighbors [895, 583]
Gear 99 at (34, 74) with neighbors [94, 751]
Gear 100 at (35, 3) with neighbors [464]
Gear 101 at (35, 27) with neighbors [608, 230]
Gear 102 at (35, 116) with neighbors [486, 949]
Gear 103 at (36, 13) with neighbors [121, 595]
Gear 104 at (36, 134) with neighbors [24, 251]
Gear 105 at (37, 39) with neighbors [285, 25]
Gear 106 at (37, 47) with neighbors [434, 234]
Gear 107 at (37, 70) with neighbors [833, 390]
Gear 108 at (37, 107) with neighbors [261, 432]
Gear 109 at (37, 123) with neighbors [506, 382]
Gear 110 at (39, 8) with neighbors [700, 610]
Gear 111 at (40, 22) with neighbors [839, 586]
Gear 112 at (40, 43) with neighbors [33, 264]
Gear 113 at (41, 60) with neighbors [93, 987]
Gear 114 at (41, 64) with neighbors [161, 305]
Gear 115 at (42, 115) with neighbors [822, 800]
Gear 116 at (43, 14) with neighbors [540, 696]
Gear 117 at (43, 36) with neighbors [447, 203]
Gear 118 at (43, 102) with neighbors [670, 462]
Gear 119 at (43, 128) with neighbors [552, 464]
Gear 120 at (44, 5) with neighbors [666, 691]
Gear 121 at (44, 20) with neighbors [844, 756]
Gear 122 at (44, 91) with neighbors [393, 398]
Gear 123 at (45, 122) with neighbors [786, 841]
Gear 124 at (46, 53) with neighbors [596, 32]
Gear 125 at (46, 134) with neighbors [796, 419]
Gear 126 at (47, 94) with neighbors [706, 444]
Gear 127 at (47, 116) with neighbors [327, 366]
Gear 128 at (48, 3) with neighbors [927, 74]
Gear 129 at (49, 25) with neighbors [944]
Gear 130 at (49, 48) with neighbors [459, 634]
Gear 131 at (49, 106) with neighbors [959, 819]
Gear 132 at (49, 109) with neighbors [106, 29]
Gear 133 at (50, 86) with neighbors [585, 74]
Gear 134 at (50, 101) with neighbors [441, 922]
Gear 135 at (50, 123) with neighbors [35, 7]
Gear 136 at (51, 16) with neighbors [415, 142]
Gear 137 at (53, 106) with neighbors [175, 897]
Gear 138 at (54, 13) with neighbors [551, 602]
Gear 139 at (54, 51) with neighbors [620]
Gear 140 at (54, 64) with neighbors [951, 661]
Gear 141 at (55, 78) with neighbors [395, 794]
Gear 142 at (55, 95) with neighbors [263, 167]
Gear 143 at (56, 57) with neighbors [970, 569]
Gear 144 at (56, 101) with neighbors [48]
Gear 145 at (56, 124) with neighbors [475, 785]
Gear 146 at (56, 134) with neighbors [839, 455]
Gear 147 at (57, 127) with neighbors [500]
Gear 148 at (58, 15) with neighbors [459, 466]
Gear 149 at (58, 43) with neighbors [452]
Gear 150 at (58, 96) with neighbors [978, 142]
Gear 151 at (59, 7) with neighbors [427, 815]
Gear 152 at (59, 33) with neighbors [608, 796]
Gear 153 at (59, 76) with neighbors [365, 679]
Gear 154 at (59, 133) with neighbors [84, 627]
Gear 155 at (61, 33) with neighbors [108, 995]
Gear 156 at (61, 44) with neighbors [513, 302]
Gear 157 at (61, 59) with neighbors [739, 41]
Gear 158 at (61, 107) with neighbors [464, 840]
Gear 159 at (61, 127) with neighbors [980, 148]
Gear 160 at (63, 94) with neighbors [53, 45]
Gear 161 at (64, 13) with neighbors [812, 995]
Gear 162 at (64, 74) with neighbors [950, 661]
Gear 163 at (64, 101) with neighbors [28, 135]
Gear 164 at (64, 132) with neighbors [138, 191]
Gear 165 at (65, 59) with neighbors [308, 88]
Gear 166 at (65, 87) with neighbors [482, 581]
Gear 167 at (66, 119) with neighbors [743, 992]
Gear 168 at (67, 3) with neighbors [400, 170]
Gear 169 at (68, 14) with neighbors [140, 725]
Gear 170 at (68, 32) with neighbors [642, 23]
Gear 171 at (68, 37) with neighbors [891, 279]
Gear 172 at (68, 45) with neighbors [24, 713]
Gear 173 at (68, 53) with neighbors [309, 449]
Gear 174 at (68, 105) with neighbors [695, 434]
Gear 175 at (68, 114) with neighbors [361]
Gear 176 at (69, 69) with neighbors [439, 24]
Gear 177 at (69, 78) with neighbors [291, 519]
Gear 178 at (69, 95) with neighbors [461, 408]
Gear 179 at (70, 118) with neighbors [650, 927]
Gear 180 at (70, 125) with neighbors [785, 722]
Gear 181 at (71, 6) with neighbors [991, 124]
Gear 182 at (71, 130) with neighbors [370, 13]
Gear 183 at (72, 11) with neighbors [887, 706]
Gear 184 at (72, 23) with neighbors [688, 934]
Gear 185 at (72, 40) with neighbors [218, 608]
Gear 186 at (73, 26) with neighbors [122]
Gear 187 at (73, 34) with neighbors [427, 262]
Gear 188 at (73, 107) with neighbors [922, 222]
Gear 189 at (73, 136) with neighbors [307, 540]
Gear 190 at (74, 3) with neighbors [5, 715]
Gear 191 at (74, 87) with neighbors [610, 647]
Gear 192 at (74, 94) with neighbors [641, 141]
Gear 193 at (75, 58) with neighbors [928, 988]
Gear 194 at (75, 80) with neighbors [728, 889]
Gear 195 at (75, 110) with neighbors [40]
Gear 196 at (75, 120) with neighbors [923]
Gear 197 at (76, 39) with neighbors [291, 101]
Gear 198 at (76, 52) with neighbors [820, 733]
Gear 199 at (77, 100) with neighbors [797, 384]
Gear 200 at (79, 4) with neighbors [421, 439]
Gear 201 at (79, 15) with neighbors [582, 630]
Gear 202 at (79, 52) with neighbors [629, 484]
Gear 203 at (79, 67) with neighbors [565, 777]
Gear 204 at (79, 96) with neighbors [695, 602]
Gear 205 at (79, 108) with neighbors [592, 567]
Gear 206 at (79, 136) with neighbors [904]
Gear 207 at (80, 82) with neighbors [726, 185]
Gear 208 at (81, 113) with neighbors [3, 117]
Gear 209 at (82, 20) with neighbors [914, 33]
Gear 210 at (82, 50) with neighbors [763, 834]
Gear 211 at (82, 87) with neighbors [182, 494]
Gear 212 at (83, 92) with neighbors [459, 954]
Gear 213 at (84, 15) with neighbors [990, 179]
Gear 214 at (84, 22) with neighbors [245]
Gear 215 at (84, 117) with neighbors [982, 423]
Gear 216 at (85, 27) with neighbors [492, 131]
Gear 217 at (85, 44) with neighbors [176, 191]
Gear 218 at (85, 48) with neighbors [33, 306]
Gear 219 at (85, 77) with neighbors [315, 491]
Gear 220 at (85, 86) with neighbors [352, 509]
Gear 221 at (85, 130) with neighbors [763, 415]
Gear 222 at (86, 33) with neighbors [17, 61]
Gear 223 at (87, 67) with neighbors [503, 212]
Gear 224 at (88, 90) with neighbors [384, 669]
Gear 225 at (88, 123) with neighbors [447, 334]
Gear 226 at (89, 7) with neighbors [537, 944]
Gear 227 at (89, 13) with neighbors [575, 636]
Gear 228 at (89, 23) with neighbors [617]
Gear 229 at (89, 32) with neighbors [890, 743]
Gear 230 at (89, 62) with neighbors [120, 109]
Gear 231 at (89, 77) with neighbors [519, 971]
Gear 232 at (90, 42) with neighbors [677, 155]
Gear 233 at (90, 132) with neighbors [700, 910]
Gear 234 at (91, 17) with neighbors [848, 276]
Gear 235 at (91, 37) with neighbors [388]
Gear 236 at (91, 125) with neighbors [540, 434]
Gear 237 at (92, 47) with neighbors [324, 959]
Gear 238 at (92, 56) with neighbors [820, 520]
Gear 239 at (92, 115) with neighbors [621, 276]
Gear 240 at (93, 86) with neighbors [368, 110]
Gear 241 at (93, 111) with neighbors [428, 771]
Gear 242 at (94, 3) with neighbors [932, 947]
Gear 243 at (94, 84) with neighbors [196, 721]
Gear 244 at (95, 42) with neighbors [931, 688]
Gear 245 at (95, 61) with neighbors [944, 213]
Gear 246 at (95, 94) with neighbors [148, 194]
Gear 247 at (95, 104) with neighbors [426, 483]
Gear 248 at (96, 5) with neighbors [491]
Gear 249 at (96, 15) with neighbors [108]
Gear 250 at (96, 25) with neighbors [114, 611]
Gear 251 at (96, 72) with neighbors [909, 834]
Gear 252 at (97, 45) with neighbors [191, 121]
Gear 253 at (97, 124) with neighbors [605, 649]
Gear 254 at (98, 18) with neighbors [941]
Gear 255 at (98, 61) with neighbors [865, 140]
Gear 256 at (98, 94) with neighbors [39, 789]
Gear 257 at (99, 28) with neighbors [160, 532]
Gear 258 at (99, 54) with neighbors [338, 608]
Gear 259 at (99, 73) with neighbors [719, 180]
Gear 260 at (99, 89) with neighbors [516, 743]
Gear 261 at (99, 114) with neighbors [993, 669]
Gear 262 at (100, 12) with neighbors [643, 948]
Gear 263 at (100, 66) with neighbors [94, 623]
Gear 264 at (101, 18) with neighbors [135, 447]
Gear 265 at (101, 71) with neighbors [105]
Gear 266 at (101, 108) with neighbors [194]
Gear 267 at (102, 36) with neighbors [695]
Gear 268 at (102, 132) with neighbors [679, 228]
Gear 269 at (104, 16) with neighbors [659, 535]
Gear 270 at (104, 27) with neighbors [299, 500]
Gear 271 at (104, 59) with neighbors [599, 726]
Gear 272 at (104, 61) with neighbors [898, 381]
Gear 273 at (104, 83) with neighbors [859, 464]
Gear 274 at (104, 93) with neighbors [606]
Gear 275 at (104, 136) with neighbors [476]
Gear 276 at (105, 9) with neighbors [468, 517]
Gear 277 at (105, 120) with neighbors [877, 825]
Gear 278 at (105, 124) with neighbors [427, 393]
Gear 279 at (106, 104) with neighbors [43, 868]
Gear 280 at (106, 113) with neighbors [472, 502]
Gear 281 at (107, 127) with neighbors [15, 179]
Gear 282 at (108, 10) with neighbors [770, 538]
Gear 283 at (108, 34) with neighbors [417, 362]
Gear 284 at (109, 6) with neighbors [373, 138]
Gear 285 at (109, 92) with neighbors [246, 92]
Gear 286 at (109, 121) with neighbors [982, 994]
Gear 287 at (110, 114) with neighbors [278, 220]
Gear 288 at (111, 46) with neighbors [543, 500]
Gear 289 at (111, 73) with neighbors [12]
Gear 290 at (113, 16) with neighbors [64, 453]
Gear 291 at (113, 27) with neighbors [593, 638]
Gear 292 at (113, 52) with neighbors [603, 459]
Gear 293 at (113, 127) with neighbors [800, 846]
Gear 294 at (114, 20) with neighbors [624, 400]
Gear 295 at (114, 40) with neighbors [924, 268]
Gear 296 at (114, 131) with neighbors [423]
Gear 297 at (115, 92) with neighbors [186, 698]
Gear 298 at (116, 98) with neighbors [12, 943]
Gear 299 at (117, 29) with neighbors [597, 915]
Gear 300 at (117, 56) with neighbors [388, 440]
Gear 301 at (117, 62) with neighbors [871, 149]
Gear 302 at (117, 68) with neighbors [468, 236]
Gear 303 at (117, 111) with neighbors [504, 753]
Gear 304 at (118, 24) with neighbors [878, 459]
Gear 305 at (118, 42) with neighbors [875, 212]
Gear 306 at (118, 86) with neighbors [511, 929]
Gear 307 at (119, 18) with neighbors [94, 651]
Gear 308 at (119, 47) with neighbors [18, 964]
Gear 309 at (119, 52) with neighbors [40, 827]
Gear 310 at (119, 102) with neighbors [994, 813]
Gear 311 at (120, 15) with neighbors [781, 285]
Gear 312 at (120, 75) with neighbors [768, 377]
Gear 313 at (120, 79) with neighbors [827, 997]
Gear 314 at (120, 128) with neighbors [333, 567]
Gear 315 at (121, 10) with neighbors [2, 877]
Gear 316 at (121, 123) with neighbors [102, 153]
Gear 317 at (122, 46) with neighbors [304, 839]
Gear 318 at (122, 68) with neighbors [953, 449]
Gear 319 at (122, 103) with neighbors [366, 69]
Gear 320 at (123, 15) with neighbors [636, 255]
Gear 321 at (123, 43) with neighbors [189]
Gear 322 at (123, 93) with neighbors [17, 499]
Gear 323 at (124, 99) with neighbors [409, 933]
Gear 324 at (124, 134) with neighbors [652, 367]
Gear 325 at (125, 7) with neighbors [576, 807]
Gear 326 at (125, 55) with neighbors [469, 266]
Gear 327 at (125, 82) with neighbors [808, 374]
Gear 328 at (125, 118) with neighbors [477]
Gear 329 at (126, 104) with neighbors [737, 346]
Gear 330 at (127, 14) with neighbors [219, 175]
Gear 331 at (127, 28) with neighbors [41, 979]
Gear 332 at (127, 67) with neighbors [215, 39]
Gear 333 at (128, 33) with neighbors [922, 487]
Gear 334 at (128, 90) with neighbors [350, 750]
Gear 335 at (128, 131) with neighbors [662, 617]
Gear 336 at (129, 23) with neighbors [335, 489]
Gear 337 at (129, 49) with neighbors [42, 215]
Gear 338 at (130, 95) with neighbors [856, 708]
Gear 339 at (130, 118) with neighbors [253, 884]
Gear 340 at (131, 74) with neighbors [953, 779]
Gear 341 at (131, 105) with neighbors [223, 50]
Gear 342 at (132, 14) with neighbors [90]
Gear 343 at (132, 30) with neighbors [437, 643]
Gear 344 at (132, 84) with neighbors [714, 263]
Gear 345 at (132, 125) with neighbors [871, 872]
Gear 346 at (132, 130) with neighbors [801, 903]
Gear 347 at (133, 61) with neighbors [923, 708]
Gear 348 at (133, 90) with neighbors [340, 323]
Gear 349 at (133, 99) with neighbors [738, 201]
Gear 350 at (133, 112) with neighbors [256, 11]
Gear 351 at (133, 132) with neighbors [131, 377]
Gear 352 at (134, 5) with neighbors [50, 502]
Gear 353 at (134, 121) with neighbors [584]
Gear 354 at (135, 32) with neighbors [698, 581]
Gear 355 at (135, 51) with neighbors [148, 376]
Gear 356 at (135, 68) with neighbors [174, 119]
Gear 357 at (136, 13) with neighbors [883, 234]
Gear 358 at (136, 102) with neighbors [804, 555]
Gear 359 at (137, 75) with neighbors [7]
Gear 360 at (137, 81) with neighbors [138, 231]
Gear 361 at (137, 111) with neighbors [834, 817]
Gear 362 at (137, 124) with neighbors [4, 719]
Gear 363 at (138, 18) with neighbors [904, 620]
Gear 364 at (138, 42) with neighbors [894, 866]
Gear 365 at (138, 70) with neighbors [440]
Gear 366 at (138, 104) with neighbors [760, 310]
Gear 367 at (138, 134) with neighbors [932, 590]
Number of gears: 368
Selected gear 0 at (1, 75) with neighbors [801, 691]
Selected gear 1 at (2, 3) with neighbors [982, 436]
Selected gear 2 at (2, 56) with neighbors [375, 631]
Selected gear 4 at (3, 37) with neighbors [203, 917]
Selected gear 5 at (3, 50) with neighbors [263, 375]
Selected gear 7 at (3, 122) with neighbors [333, 664]
Selected gear 8 at (4, 15) with neighbors [114, 452]
Selected gear 9 at (4, 87) with neighbors [14, 941]
Selected gear 10 at (4, 106) with neighbors [544, 427]
Selected gear 11 at (4, 114) with neighbors [706, 728]
Selected gear 12 at (5, 3) with neighbors [194, 243]
Selected gear 13 at (5, 33) with neighbors [743, 470]
Selected gear 14 at (5, 55) with neighbors [309, 111]
Selected gear 15 at (6, 12) with neighbors [807, 130]
Selected gear 16 at (6, 67) with neighbors [659, 199]
Selected gear 17 at (6, 89) with neighbors [828, 640]
Selected gear 19 at (6, 131) with neighbors [566, 380]
Selected gear 20 at (6, 136) with neighbors [13, 83]
Selected gear 21 at (7, 18) with neighbors [80, 870]
Selected gear 22 at (7, 26) with neighbors [385, 329]
Selected gear 23 at (8, 100) with neighbors [463, 852]
Selected gear 24 at (8, 113) with neighbors [978, 606]
Selected gear 25 at (9, 8) with neighbors [323, 538]
Selected gear 26 at (9, 33) with neighbors [786, 301]
Selected gear 28 at (9, 62) with neighbors [453, 33]
Selected gear 29 at (9, 73) with neighbors [390, 466]
Selected gear 30 at (9, 85) with neighbors [297, 793]
Selected gear 31 at (9, 118) with neighbors [863, 218]
Selected gear 32 at (10, 99) with neighbors [728, 701]
Selected gear 33 at (10, 134) with neighbors [396, 437]
Selected gear 34 at (11, 67) with neighbors [537, 806]
Selected gear 35 at (12, 6) with neighbors [3, 790]
Selected gear 36 at (12, 17) with neighbors [986, 487]
Selected gear 37 at (13, 22) with neighbors [626, 68]
Selected gear 39 at (13, 100) with neighbors [11, 160]
Selected gear 40 at (14, 45) with neighbors [13, 568]
Selected gear 41 at (14, 89) with neighbors [503, 675]
Selected gear 42 at (14, 121) with neighbors [978, 19]
Selected gear 43 at (15, 3) with neighbors [437, 161]
Selected gear 44 at (15, 26) with neighbors [712, 854]
Selected gear 45 at (15, 72) with neighbors [863, 891]
Selected gear 47 at (16, 48) with neighbors [974, 120]
Selected gear 48 at (16, 55) with neighbors [255, 318]
Selected gear 49 at (16, 128) with neighbors [849, 74]
Selected gear 50 at (17, 18) with neighbors [710, 487]
Selected gear 51 at (17, 63) with neighbors [441, 146]
Selected gear 52 at (17, 113) with neighbors [235, 398]
Selected gear 53 at (17, 123) with neighbors [880, 769]
Selected gear 54 at (18, 41) with neighbors [800, 662]
Selected gear 55 at (18, 136) with neighbors [238, 562]
Selected gear 56 at (19, 55) with neighbors [251, 468]
Selected gear 57 at (20, 49) with neighbors [304, 773]
Selected gear 58 at (20, 69) with neighbors [895, 844]
Selected gear 59 at (20, 80) with neighbors [591, 508]
Selected gear 60 at (20, 102) with neighbors [810, 401]
Selected gear 61 at (21, 44) with neighbors [720, 200]
Selected gear 62 at (21, 87) with neighbors [960, 46]
Selected gear 63 at (21, 114) with neighbors [534, 517]
Selected gear 64 at (21, 122) with neighbors [645, 647]
Selected gear 66 at (23, 17) with neighbors [158, 672]
Selected gear 67 at (23, 53) with neighbors [409, 415]
Selected gear 68 at (23, 61) with neighbors [982, 283]
Selected gear 69 at (23, 117) with neighbors [303, 719]
Selected gear 70 at (23, 126) with neighbors [660, 679]
Selected gear 71 at (24, 6) with neighbors [530, 664]
Selected gear 72 at (24, 41) with neighbors [611, 203]
Selected gear 73 at (24, 99) with neighbors [131, 14]
Selected gear 74 at (26, 20) with neighbors [664, 121]
Selected gear 75 at (26, 29) with neighbors [668, 836]
Selected gear 76 at (26, 117) with neighbors [427, 6]
Selected gear 77 at (27, 38) with neighbors [434, 848]
Selected gear 78 at (27, 63) with neighbors [789, 65]
Selected gear 79 at (27, 99) with neighbors [544, 5]
Selected gear 80 at (28, 105) with neighbors [622, 557]
Selected gear 81 at (28, 127) with neighbors [882, 503]
Selected gear 82 at (29, 49) with neighbors [625, 240]
Selected gear 83 at (29, 73) with neighbors [382, 636]
Selected gear 84 at (30, 17) with neighbors [627, 961]
Selected gear 85 at (30, 33) with neighbors [641, 324]
Selected gear 86 at (30, 82) with neighbors [912, 170]
Selected gear 87 at (30, 86) with neighbors [651, 805]
Selected gear 88 at (30, 92) with neighbors [162, 517]
Selected gear 89 at (30, 116) with neighbors [901, 929]
Selected gear 90 at (31, 6) with neighbors [934, 357]
Selected gear 91 at (31, 27) with neighbors [552, 94]
Selected gear 92 at (31, 112) with neighbors [993, 9]
Selected gear 93 at (32, 22) with neighbors [43, 512]
Selected gear 94 at (32, 62) with neighbors [888, 489]
Selected gear 95 at (32, 100) with neighbors [639, 240]
Selected gear 96 at (33, 124) with neighbors [605, 172]
Selected gear 97 at (34, 44) with neighbors [976, 909]
Selected gear 98 at (34, 53) with neighbors [895, 583]
Selected gear 99 at (34, 74) with neighbors [94, 751]
Selected gear 101 at (35, 27) with neighbors [608, 230]
Selected gear 102 at (35, 116) with neighbors [486, 949]
Selected gear 103 at (36, 13) with neighbors [121, 595]
Selected gear 104 at (36, 134) with neighbors [24, 251]
Selected gear 105 at (37, 39) with neighbors [285, 25]
Selected gear 106 at (37, 47) with neighbors [434, 234]
Selected gear 107 at (37, 70) with neighbors [833, 390]
Selected gear 108 at (37, 107) with neighbors [261, 432]
Selected gear 109 at (37, 123) with neighbors [506, 382]
Selected gear 110 at (39, 8) with neighbors [700, 610]
Selected gear 111 at (40, 22) with neighbors [839, 586]
Selected gear 112 at (40, 43) with neighbors [33, 264]
Selected gear 113 at (41, 60) with neighbors [93, 987]
Selected gear 114 at (41, 64) with neighbors [161, 305]
Selected gear 115 at (42, 115) with neighbors [822, 800]
Selected gear 116 at (43, 14) with neighbors [540, 696]
Selected gear 117 at (43, 36) with neighbors [447, 203]
Selected gear 118 at (43, 102) with neighbors [670, 462]
Selected gear 119 at (43, 128) with neighbors [552, 464]
Selected gear 120 at (44, 5) with neighbors [666, 691]
Selected gear 121 at (44, 20) with neighbors [844, 756]
Selected gear 122 at (44, 91) with neighbors [393, 398]
Selected gear 123 at (45, 122) with neighbors [786, 841]
Selected gear 124 at (46, 53) with neighbors [596, 32]
Selected gear 125 at (46, 134) with neighbors [796, 419]
Selected gear 126 at (47, 94) with neighbors [706, 444]
Selected gear 127 at (47, 116) with neighbors [327, 366]
Selected gear 128 at (48, 3) with neighbors [927, 74]
Selected gear 130 at (49, 48) with neighbors [459, 634]
Selected gear 131 at (49, 106) with neighbors [959, 819]
Selected gear 132 at (49, 109) with neighbors [106, 29]
Selected gear 133 at (50, 86) with neighbors [585, 74]
Selected gear 134 at (50, 101) with neighbors [441, 922]
Selected gear 135 at (50, 123) with neighbors [35, 7]
Selected gear 136 at (51, 16) with neighbors [415, 142]
Selected gear 137 at (53, 106) with neighbors [175, 897]
Selected gear 138 at (54, 13) with neighbors [551, 602]
Selected gear 140 at (54, 64) with neighbors [951, 661]
Selected gear 141 at (55, 78) with neighbors [395, 794]
Selected gear 142 at (55, 95) with neighbors [263, 167]
Selected gear 143 at (56, 57) with neighbors [970, 569]
Selected gear 145 at (56, 124) with neighbors [475, 785]
Selected gear 146 at (56, 134) with neighbors [839, 455]
Selected gear 148 at (58, 15) with neighbors [459, 466]
Selected gear 150 at (58, 96) with neighbors [978, 142]
Selected gear 151 at (59, 7) with neighbors [427, 815]
Selected gear 152 at (59, 33) with neighbors [608, 796]
Selected gear 153 at (59, 76) with neighbors [365, 679]
Selected gear 154 at (59, 133) with neighbors [84, 627]
Selected gear 155 at (61, 33) with neighbors [108, 995]
Selected gear 156 at (61, 44) with neighbors [513, 302]
Selected gear 157 at (61, 59) with neighbors [739, 41]
Selected gear 158 at (61, 107) with neighbors [464, 840]
Selected gear 159 at (61, 127) with neighbors [980, 148]
Selected gear 160 at (63, 94) with neighbors [53, 45]
Selected gear 161 at (64, 13) with neighbors [812, 995]
Selected gear 162 at (64, 74) with neighbors [950, 661]
Selected gear 163 at (64, 101) with neighbors [28, 135]
Selected gear 164 at (64, 132) with neighbors [138, 191]
Selected gear 165 at (65, 59) with neighbors [308, 88]
Selected gear 166 at (65, 87) with neighbors [482, 581]
Selected gear 167 at (66, 119) with neighbors [743, 992]
Selected gear 168 at (67, 3) with neighbors [400, 170]
Selected gear 169 at (68, 14) with neighbors [140, 725]
Selected gear 170 at (68, 32) with neighbors [642, 23]
Selected gear 171 at (68, 37) with neighbors [891, 279]
Selected gear 172 at (68, 45) with neighbors [24, 713]
Selected gear 173 at (68, 53) with neighbors [309, 449]
Selected gear 174 at (68, 105) with neighbors [695, 434]
Selected gear 176 at (69, 69) with neighbors [439, 24]
Selected gear 177 at (69, 78) with neighbors [291, 519]
Selected gear 178 at (69, 95) with neighbors [461, 408]
Selected gear 179 at (70, 118) with neighbors [650, 927]
Selected gear 180 at (70, 125) with neighbors [785, 722]
Selected gear 181 at (71, 6) with neighbors [991, 124]
Selected gear 182 at (71, 130) with neighbors [370, 13]
Selected gear 183 at (72, 11) with neighbors [887, 706]
Selected gear 184 at (72, 23) with neighbors [688, 934]
Selected gear 185 at (72, 40) with neighbors [218, 608]
Selected gear 187 at (73, 34) with neighbors [427, 262]
Selected gear 188 at (73, 107) with neighbors [922, 222]
Selected gear 189 at (73, 136) with neighbors [307, 540]
Selected gear 190 at (74, 3) with neighbors [5, 715]
Selected gear 191 at (74, 87) with neighbors [610, 647]
Selected gear 192 at (74, 94) with neighbors [641, 141]
Selected gear 193 at (75, 58) with neighbors [928, 988]
Selected gear 194 at (75, 80) with neighbors [728, 889]
